question,answer
What was the crime count of Goalpara in the year 2016,The crime count of Goalpara was {} in the year 2016
How many crimes took place in Chittoor in 2018,The crime count of Chittoor was {} in the year 2018
How many crime cases did Bengaluru have in 2017,The crime count of Bengaluru was {} in the year 2017
What was the kidnapping count in Maharashtra in 2016,The kidnapping count in Maharashtra was {} in the year 2016
How many murders took place in Jammu & Kashmir in 2019,{} murders took place in Jammu & Kashmir in 2019
Where was the lowest murder count in 2020,{} had the lowest murder count in 2020
Where was the highest murder count in 2020,{} had the highest murder count in 2020
Which was the highest commited crime in 2017,{} was the highest commited crime in 2017
Which state has the highest kidnapping count in 2017,{} has the highest Kidnapping count in 2017
Which was the lowest commited crime in 2018,{} was the highest commited crime in 2017
Which state had higher crime count in 2020 Maharshtra or Andhra Pradesh,{} had higher crime count in 2020
What is the total kidnapping count of year 2019,The total kidnapping count of the year 2019 was {}
What is the total crime count of year 2017,The total crime count of the year 2017 was {}
Which year had highest crime count,Crime count was highest in the year {}
Which year had the lowest crime count,Crime count was lowest in the year {}
Which district has the highest crime,{} has the highest crime count
Which district has the lowest crime,{} has the lowest crime count
Which state has the highest crime,{} has the highest crime count
Which state has the lowest crime ,{} has the lowest crime count
What is the trend of crimes in Mumbai over the years,The trend is as shown in the graph
How many crimes took place against women in Nagpur in 2017,{} crimes took place against women in Nagpur in 2017
How many took place in Nashik in the past years?,The trend is as shown in the graph
How many took place in Alwar over the years?,The trend is as shown in the graph
What are the top five districts in Kerala with least crime committed against women count in 2018,The visualization for top five districts in Kerala with least crime committed against women count in 2018 is as follows
Which states have crime count greater than 50000 in 2018,The visualization for states having crime count greater than 50000 in 2018 is shown as follows
Which crime had the least number of cases in 2019,The crime that had least number of cases in 2019 is  {}
Which is the highest committed crime in Assam,The highest committed crime in Assam is {}
What is the crime count of states around Maharashtra,The crime count of states around Maharashtra is shown in the visualization as follows
What is the crime count of states nearby Kerala in 2019,The crime count of states nearby Kerala in 2019 is shown in the visualization as follows
Which district in Kerala has maximum computer crime count in 2018,{} district in Kerala had the maximum crime count in 2018
Which districts have crime count greater than 1000 in 2020 in Kerala,The districts having crime count greater than 1000 in 2020 in Kerala are shown in the visualization as follows
What are the top five states in India with maximum theft count,The visualization for top five states in India with maximum theft count is as follows
What is the murder count for all districts in Maharashtra,The visualization for murder count for all districts in Maharashtra is as follows
What is the murder count for all states in India in 2020,The visualization for murder count for all states in India in 2020 is as follows
What is the crime count of Mumbai,The crime count of Mumbai is {}
